,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials | Aluminum | USA,-,8650000000.0,963000000.0,13390000000.0,31.13,9.33,0.4,0.81,12200.0,Yes,Yes,2.1,9.72,6.92,-,0.65,1.58,5.28,7.75,1.0,1.8,0.3,0.3,-5.61,5.07,7.12,0.76,347.0,-1.4,-,24.8,5.5,28.6,81.5,Jul 20 Ae6C,1.66,0.2,0.0,86.2,-1.11,6.3,20.5,5.0,27.9,12.7,7.2,5.7,-19.89,182000000.0,173820000.0,4.5,1.33,58.22,39.56 - 98.09,-49.79,24.48,45.41,0.67,5870000.0,3947643.0,-11.8,2.93,-20.35,-45.68,4.99,-17.34,2.32,2.67,5.04 4.58,48.08,49.25,2.43
EXPD,"Expeditors International of Washington, Inc.",Industrials | Integrated Freight & Logistics | USA,S&P 500,16980000000.0,1540000000.0,18980000000.0,21.35,11.84,1.34,1.32,19070.0,Yes,Yes,3.1,11.22,17.69,-,0.89,4.76,8.59,13.23,1.9,1.9,0.0,0.0,-3.92,9.07,5.75,1.99,102.9,-29.1,-,28.5,22.1,27.5,23.2,Aug 02 e9e6O,-0.33,0.3,-1.98,96.0,-0.91,20.5,43.0,40.2,25.4,11.0,8.1,13.6,-6.87,165090000.0,158490000.0,2.65,3.56,105.93,92.58 - 137.80,-26.21,9.83,41.37,0.93,1180000.0,1096414.0,-3.08,-1.81,-7.51,2.17,-18.02,-24.28,0.86,2.36,2.16 1.92,103.81,101.68,-2.05
EXPE,"Expedia Group, Inc.",Consumer Cyclical | Travel Services | USA,S&P 500,16030000000.0,331000000.0,10670000000.0,12.14,35.63,-,,14800.0,Yes,Yes,2.5,48.69,10.83,2.14,1.5,8.41,2.87,5.26,0.9,0.9,3.52,3.52,-5.11,2.1,9.43,4.01,90.5,34.67,,-24.4,-0.4,50.7,41.7,Aug 04 Ae6C,0.04,0.4,-4.45,97.8,-0.2,1.4,17.3,3.9,84.8,12.4,3.1,0.0,-32.68,157290000.0,151320000.0,4.56,2.43,146.07,88.70 - 217.72,-53.1,15.11,43.07,0.55,2840000.0,1554839.0,-1.27,-0.1,-22.45,-42.06,-28.98,-43.5,1.6,4.2,3.49 3.64,101.73,102.1,0.36
EXR,Extra Space Storage Inc.,Real Estate | REIT - Industrial | USA,S&P 500,26910000000.0,891200000.0,1760000000.0,23.86,0.44,6.0,3.01,4309.0,Yes,Yes,2.3,30.03,30.79,5.0,15.3,8.37,458.4,70.85,-,-,1.99,1.99,-3.57,6.65,6.48,1.57,66.8,6.87,,16.3,9.7,25.5,37.8,Aug 02 Ae6C,5.91,0.8,0.22,98.4,1.19,8.5,28.5,10.5,75.8,59.7,50.7,82.7,2.56,134190000.0,131880000.0,2.17,4.65,221.58,156.70 - 228.84,-12.78,27.38,48.93,0.73,615250.0,451618.0,-3.64,2.23,11.95,-0.64,4.17,-11.97,0.49,4.46,2.24 1.95,200.94,199.6,-0.67
FANG,"Diamondback Energy, Inc.",Energy | Oil & Gas E&P | USA,S&P 500,23170000000.0,3830000000.0,9110000000.0,75.41,0.25,3.0,2.24,870.0,Yes,Yes,1.9,6.25,5.47,0.32,2.54,1.78,538.9,5.23,0.7,0.7,0.41,0.41,3.07,21.42,24.48,6.93,141.4,-7.26,,50.0,66.8,64.7,364.1,Aug 01 Ae6C,10.01,0.2,-14.37,91.6,0.16,16.6,30.9,17.5,83.2,66.3,42.1,10.5,8.22,181180000.0,176640000.0,4.05,2.42,174.97,70.74 - 159.44,-16.04,89.24,56.42,0.59,2960000.0,1756076.0,-0.04,16.98,-11.92,0.68,81.19,28.64,2.05,5.79,4.19 3.96,130.3,133.87,2.74
FAST,Fastenal Company,Industrials | Industrial Distribution | USA,S&P 500,29280000000.0,1030000000.0,6570000000.0,5.52,0.43,1.24,2.46,21629.0,Yes,Yes,3.0,28.26,25.91,4.46,4.46,9.14,118.11,-,1.8,3.7,0.16,0.1,-5.67,1.79,1.95,0.48,7.4,4.12,,13.2,8.7,18.0,19.7,Jul 13 e9e6O,-1.46,0.1,-2.7,79.6,0.92,23.5,33.5,27.2,46.5,20.7,15.7,65.8,-8.66,575460000.0,573670000.0,2.33,4.28,49.57,45.68 - 64.75,-22.05,10.49,39.57,0.71,3120000.0,2229211.0,-0.96,-3.48,-7.29,-6.49,-10.21,-21.21,1.19,1.18,2.36 1.97,50.95,50.47,-0.94
FATE,"Fate Therapeutics, Inc.",Healthcare | Biotechnology | USA,-,2620000000.0,-253700000.0,68300000.0,6.0,5.8,-,,449.0,Yes,Yes,1.8,-,-,-,38.39,4.45,4.61,-,6.5,6.5,0.0,0.0,-12.63,-2.64,-3.88,-0.89,-6.4,-14.1,-,-16.3,66.2,38.1,-34.6,Aug 03 Ae6C,-11.26,1.6,-12.65,,10.23,-28.4,-38.7,-32.0,,,,,-26.06,96700000.0,95460000.0,20.87,13.06,74.55,17.10 - 76.42,-65.03,56.26,39.71,0.97,1530000.0,1478068.0,-2.94,-17.91,12.98,-17.71,-64.61,-54.33,1.67,2.34,6.56 7.71,27.03,26.72,-1.15
FDS,FactSet Research Systems Inc.,Financial | Financial Data & Stock Exchanges | USA,S&P 500,16710000000.0,393600000.0,1760000000.0,33.42,14.44,3.56,0.83,10691.0,Yes,Yes,3.1,42.27,29.17,2.61,9.52,12.88,29.81,41.9,2.1,2.1,1.66,1.66,-2.19,10.18,14.76,3.58,7.4,8.94,,4.8,7.1,22.3,-26.0,Sep 22 e9e6O,3.11,0.11,-49.46,92.0,-0.11,14.4,34.2,25.5,52.9,26.3,22.4,32.2,2.46,37930000.0,-,,3.06,435.91,345.92 - 495.39,-13.11,24.43,48.22,0.55,233480.0,129382.0,-3.3,1.33,13.48,4.21,11.25,-11.43,0.78,8.71,2.24 1.79,440.06,430.44,-2.19
FE,FirstEnergy Corp.,Utilities | Utilities - Diversified | USA,S&P 500,22950000000.0,1320000000.0,11590000000.0,19.02,0.83,1.56,3.91,12395.0,Yes,Yes,2.5,16.79,15.76,-,1.98,2.1,48.02,-,0.7,0.8,1.94,1.91,-0.71,2.38,2.53,0.78,22.9,5.06,,11.9,0.8,7.5,207.2,Jul 26 Ae6C,2.23,0.06,0.0,84.6,-1.74,3.0,15.3,5.5,71.5,18.0,11.8,63.4,-3.38,571000000.0,541270000.0,1.24,1.8,45.16,35.32 - 48.85,-18.3,13.0,49.54,0.56,3710000.0,2066172.0,-0.7,2.99,-4.7,-6.93,-0.03,-4.04,0.44,0.8,2.04 1.81,40.17,39.91,-0.65
FFIV,"F5, Inc.",Technology | Software - Infrastructure | USA,S&P 500,9250000000.0,343500000.0,2680000000.0,38.74,12.46,-,,6461.0,Yes,Yes,2.7,27.95,13.64,2.97,3.45,4.03,12.53,20.41,0.9,1.0,0.15,0.0,-6.57,5.59,11.45,2.52,6.6,13.2,,-0.2,5.5,3.5,-6.0,Jul 25 Ae6C,-2.96,0.5,-7.42,99.4,-2.46,6.8,14.5,12.4,80.5,15.8,12.8,0.0,-18.62,59970000.0,59320000.0,4.12,4.95,196.8,142.43 - 249.00,-37.31,9.6,37.31,1.43,493490.0,705395.0,-2.53,-9.37,-6.25,-22.63,-23.24,-36.21,1.16,3.88,2.39 2.02,155.3,156.11,0.52
FICO,Fair Isaac Corporation,Technology | Software - Application | USA,-,11180000000.0,368600000.0,1360000000.0,-33.06,6.1,-,,3367.0,Yes,Yes,2.0,32.2,23.53,1.84,8.2,-,72.11,24.89,1.2,1.2,-,-,-8.61,13.66,18.69,4.16,69.7,10.77,,31.7,8.4,3.2,-30.2,Aug 03 Ae6C,-2.74,0.1,-6.64,91.4,0.79,24.7,-68.2,35.3,78.6,38.4,27.0,0.0,1.63,25630000.0,24850000.0,2.61,4.0,546.29,340.48 - 531.03,-17.18,29.16,35.75,1.02,162040.0,164583.0,-7.77,-7.49,4.6,-11.55,-6.82,1.41,1.22,13.03,3.42 2.49,442.82,439.78,-0.69
FIS,"Fidelity National Information Services, Inc.",Technology | Information Technology Services | USA,S&P 500,55100000000.0,846000000.0,14390000000.0,76.49,-,1.88,2.09,65000.0,Yes,Yes,1.9,65.34,11.38,4.46,3.83,1.18,-,15.89,0.7,0.7,0.4,0.25,-7.7,1.38,7.9,1.76,166.5,11.81,,-15.8,9.5,7.0,-17.0,Aug 04 e9e6O,-7.21,0.2,-1.82,93.4,0.9,1.0,1.8,0.6,38.1,7.8,5.9,90.2,-11.66,608000000.0,602870000.0,1.01,1.85,123.94,85.00 - 130.55,-31.08,5.85,30.9,0.76,3300000.0,2495888.0,-3.35,-6.83,-13.34,-0.55,-29.08,-17.57,0.79,2.5,2.34 2.17,90.63,89.97,-0.73
FISV,"Fiserv, Inc.",Technology | Information Technology Services | USA,S&P 500,66200000000.0,2030000000.0,17010000000.0,48.22,4.68,-,,44000.0,Yes,Yes,2.1,32.97,13.64,2.15,3.89,2.1,21.67,27.11,1.0,1.0,0.69,0.67,-4.76,3.08,7.43,1.71,41.7,14.65,,-0.9,24.1,9.8,129.8,Jul 26 e9e6O,0.65,0.6,62.14,92.5,-0.61,2.7,6.5,3.7,51.4,16.9,11.9,0.0,1.24,645200000.0,605620000.0,1.34,2.5,125.97,87.03 - 118.99,-14.75,16.56,42.42,0.93,3240000.0,2995325.0,-2.3,-4.89,1.78,4.23,-12.42,-2.26,0.87,2.38,2.50 2.02,103.5,101.44,-1.99
FIVN,"Five9, Inc.",Technology | Software - Infrastructure | USA,-,6740000000.0,-81900000.0,700100000.0,3.51,6.76,-,,2138.0,Yes,Yes,1.8,-,51.49,-,9.62,26.05,13.52,-,4.5,4.5,3.01,3.01,-15.74,-1.19,1.78,0.32,-19.5,27.77,,-28.2,30.3,31.7,-38.1,Jul 28 Ae6C,-10.93,1.0,-16.53,,1.92,-7.0,-38.9,-4.6,53.7,-11.9,-11.7,,-18.77,69750000.0,69150000.0,6.79,5.41,139.06,80.52 - 176.49,-48.19,13.56,31.89,1.58,868180.0,1374574.0,-8.88,-20.98,-9.73,-6.14,-45.04,-33.41,0.62,4.87,5.22 4.01,96.12,91.44,-4.87
FLT,"FLEETCOR Technologies, Inc.",Technology | Information Technology Services | USA,S&P 500,15870000000.0,939100000.0,3210000000.0,35.01,18.75,-,,9700.0,Yes,Yes,2.2,17.94,11.88,1.16,4.95,5.97,11.15,21.16,1.1,1.1,2.56,1.77,-7.47,11.66,17.6,4.18,23.0,10.13,,16.0,9.1,29.1,45.6,Aug 03 Ae6C,-5.03,2.7,0.0,98.3,-1.65,6.7,32.3,10.8,,42.1,29.3,0.0,-9.53,76770000.0,72800000.0,1.33,1.71,283.07,200.78 - 282.02,-25.85,4.15,32.21,0.71,567860.0,405205.0,-5.54,-6.23,-14.18,-7.6,-20.35,-6.58,1.2,5.5,2.20 2.33,211.61,209.12,-1.18
FMC,FMC Corporation,Basic Materials | Agricultural Inputs | USA,S&P 500,13460000000.0,762500000.0,5410000000.0,24.63,4.68,2.12,1.99,6400.0,Yes,Yes,2.3,17.8,12.59,2.03,2.49,4.32,22.75,179.64,1.0,1.4,1.25,0.88,-4.18,5.98,8.46,1.12,40.4,13.73,,45.6,14.7,16.9,-31.8,Aug 02 Ae6C,-1.46,0.5,-0.74,91.5,-0.49,6.4,22.6,15.4,42.3,19.1,12.8,37.1,-7.46,126200000.0,124500000.0,1.04,1.7,133.0,87.42 - 140.99,-24.51,21.76,41.6,0.87,762210.0,659737.0,-6.57,0.37,-12.27,-12.24,10.12,-3.14,0.85,2.87,2.48 2.28,106.82,106.44,-0.36
FNKO,"Funko, Inc.",Consumer Cyclical | Leisure | USA,-,1020000000.0,48100000.0,1230000000.0,9.01,1.14,-,,1242.0,Yes,Yes,2.1,19.47,9.73,7.21,0.83,2.3,18.15,-,0.8,1.4,0.59,0.37,-4.87,1.07,2.13,0.52,876.2,11.38,,13.2,19.3,33.7,-20.0,Aug 04 Ae6C,-11.24,0.9,-98.94,61.7,-15.51,4.8,14.2,15.7,34.4,6.5,3.9,0.0,7.23,43740000.0,30710000.0,5.8,2.17,29.43,15.28 - 27.79,-25.3,35.86,40.0,0.9,819800.0,736551.0,-8.14,-22.22,-3.93,6.46,5.38,10.43,1.95,1.2,4.86 4.85,20.35,20.76,2.01
FORG,"ForgeRock, Inc.",Technology | Software - Infrastructure | USA,-,1460000000.0,-66500000.0,187900000.0,3.74,4.06,-,,786.0,Yes,Yes,2.1,-,-,-,7.79,4.57,4.21,-,4.7,4.7,0.0,0.13,-12.06,-1.05,-0.16,-0.14,-117.3,69.0,-,,,8.4,-109.1,Aug 11 Ae6C,-18.16,1.4,-0.17,76.2,11.05,-14.0,-20.1,-7.8,80.6,-30.4,-35.4,,-14.76,84440000.0,35720000.0,4.87,3.76,22.88,11.94 - 48.88,-65.0,43.33,35.1,0.67,462740.0,311353.0,-5.89,-25.61,-12.35,0.77,,-35.89,-,1.29,5.67 6.32,17.21,17.11,-0.58
FOUR,"Shift4 Payments, Inc.",Technology | Software - Infrastructure | USA,-,2370000000.0,-16000000.0,1690000000.0,2.29,18.36,-,,1732.0,Yes,Yes,2.2,-,22.33,-,1.41,18.68,2.33,22.79,4.7,4.7,0.0,9.47,-8.83,-0.3,1.92,0.42,-269.7,48.91,-,,,44.4,232.7,Aug 04 e9e6O,7.69,2.1,29.51,,-5.38,-0.7,-6.1,-2.3,20.1,0.0,-0.9,,-12.48,80210000.0,49950000.0,19.59,9.04,60.0,29.39 - 88.87,-51.87,45.53,45.96,0.5,1080000.0,540109.0,-6.84,-0.88,-6.92,-2.71,-50.74,-26.17,-,2.59,5.39 5.13,43.38,42.77,-1.41
FOX,Fox Corporation,Communication Services | Broadcasting | USA,S&P 500,17920000000.0,-,13830000000.0,18.46,-,0.48,1.54,9000.0,Yes,Yes,-,12.36,13.29,1.34,1.3,1.69,-,-,-,-,-,-,-3.37,2.53,2.35,0.49,,14.6,,,,7.5,-50.1,Aug 10 e9e6O,-0.91,42.56,0.0,57.16,,,,,,,,,-8.45,242640000.0,138970000.0,0.96,1.34,42.12,28.96 - 40.91,-23.64,7.87,41.36,0.84,998630.0,835011.0,-1.51,0.16,-1.3,-20.04,-9.5,-8.84,-,0.7,1.86 2.00,31.53,31.24,-0.92
FOXA,Fox Corporation,Communication Services | Broadcasting | USA,S&P 500,18080000000.0,1210000000.0,13970000000.0,20.36,9.7,0.5,1.48,10600.0,Yes,Yes,2.5,16.01,10.14,1.77,1.29,1.66,3.48,14.24,3.3,3.6,0.64,0.64,-3.47,2.11,3.33,1.19,-41.5,-6.42,,-0.9,7.1,4.9,26.1,Aug 10 e9e6O,-0.99,0.2,0.0,,-1.3,5.3,10.7,10.6,34.8,17.5,8.6,22.7,-8.77,557040000.0,439000000.0,2.06,4.13,42.12,31.33 - 44.95,-24.94,7.71,41.36,1.08,2190000.0,2359133.0,-1.46,0.63,-1.14,-20.97,-9.23,-8.56,0.88,0.78,1.84 2.11,34.04,33.74,-0.88
FROG,JFrog Ltd.,Technology | Software - Application | USA,-,1970000000.0,-86600000.0,244400000.0,6.32,4.35,-,,1000.0,Yes,Yes,2.2,-,237.38,-,8.07,3.16,4.58,410.72,2.6,2.6,0.0,0.0,-15.35,-0.89,-,0.0,-563.4,,-,,,39.2,-71.1,Aug 03 Ae6C,-13.09,19.5,-0.75,65.2,2.11,-10.2,-13.6,-10.2,78.2,-34.8,-35.4,,-18.42,98960000.0,72650000.0,2.7,2.02,29.14,16.36 - 42.33,-52.89,21.91,31.18,0.6,970270.0,586135.0,-9.65,-19.6,2.47,-12.2,-47.22,-32.86,-,1.01,5.40 4.05,19.85,19.94,0.45
FRSH,Freshworks Inc.,Technology | Software - Application | USA,-,3830000000.0,-2565800000.0,438200000.0,3.79,4.08,-,,4600.0,Yes,Yes,2.1,-,-,-,8.74,3.51,3.26,-,5.2,5.2,0.0,0.0,-10.95,-10.01,-0.11,-0.05,-278.0,37.5,,,,37.5,,Aug 02 Ae6C,-5.31,0.7,249.63,62.9,13.53,-178.8,-218.5,-17.4,79.7,-71.0,,,-30.32,284760000.0,140310000.0,10.85,5.33,18.0,10.51 - 53.36,-75.07,26.55,41.37,0.46,2860000.0,1322690.0,-4.93,-13.64,-13.41,-21.86,,-49.35,-,0.88,5.73 5.36,13.38,13.3,-0.6
FSLR,"First Solar, Inc.",Technology | Solar | USA,-,13630000000.0,189100000.0,2480000000.0,55.32,17.12,-,,4800.0,Yes,Yes,2.7,71.62,57.99,12.69,5.5,2.29,7.39,-,3.2,4.2,0.03,0.03,8.06,1.76,2.18,-0.25,17.4,2422.2,,25.3,0.1,-1.3,-32.5,Jul 28 Ae6C,37.27,0.3,-17.82,82.2,2.85,2.6,3.2,7.8,14.5,12.5,7.6,0.0,53.51,106590000.0,95200000.0,4.91,1.99,120.57,59.60 - 130.25,-2.95,112.1,79.55,1.33,2350000.0,3123486.0,3.83,27.47,68.7,75.94,33.25,45.03,1.38,6.07,5.55 4.50,127.84,126.41,-1.12
FTCH,Farfetch Limited,Consumer Cyclical | Internet Retail | United Kingdom,-,3760000000.0,1670000000.0,2340000000.0,2.49,1.68,-,,6464.0,Yes,Yes,2.1,2.58,-,-,1.6,3.76,5.57,-,1.3,1.6,0.8,0.76,-1.83,3.64,-0.96,-0.21,132.0,3.5,-,67.5,56.3,10.7,-15.4,Aug 25 Ae6C,9.63,4.69,0.0,94.1,-1.58,44.1,412.3,-58.5,45.4,-22.9,71.4,0.0,-43.61,382810000.0,318150000.0,7.34,2.04,16.85,6.52 - 47.30,-80.19,43.71,50.34,0.86,11430000.0,9872405.0,-22.11,3.77,5.88,-36.43,-78.42,-71.97,2.84,1.05,11.36 9.46,9.87,9.37,-5.07
FTNT,"Fortinet, Inc.",Technology | Software - Infrastructure | USA,S&P 500,38280000000.0,674000000.0,3820000000.0,-0.49,2.23,-,,11508.0,Yes,Yes,2.0,59.63,37.13,2.54,10.03,-,21.81,34.73,1.0,1.1,-,-,-5.5,0.81,1.31,0.27,24.7,24.08,,81.9,21.2,28.6,29.8,Aug 03 Ae6C,-13.33,11.9,-0.07,70.6,-1.74,11.8,156.3,35.9,75.3,19.1,17.7,0.0,-19.89,795400000.0,640830000.0,1.32,1.59,71.57,47.37 - 74.35,-34.64,2.6,34.87,1.2,5310000.0,6376490.0,-1.96,-7.62,-18.08,-27.56,-22.59,-32.39,1.21,1.75,2.53 2.62,48.55,48.6,0.1
FVRR,Fiverr International Ltd.,Consumer Cyclical | Internet Retail | Israel,-,1270000000.0,-92700000.0,325800000.0,6.42,11.13,-,,787.0,Yes,Yes,2.2,-,31.49,-,3.9,5.28,3.05,41.02,2.7,2.7,1.9,1.9,-11.73,-2.53,1.08,0.14,-294.6,96.89,-,,,12.9,-208.9,Aug 04 e9e6O,-7.8,12.86,0.0,53.2,-11.39,-10.0,-31.0,-6.3,80.9,-25.5,-28.5,,-50.61,37030000.0,32350000.0,13.54,5.13,44.56,29.04 - 210.55,-83.89,16.8,41.57,0.54,854190.0,464217.0,-6.09,-15.71,-18.91,-51.39,-81.47,-70.17,-,2.78,6.05 6.70,34.26,33.92,-0.99
FWONK,Formula One Group,Communication Services | Broadcasting | USA,-,29660000000.0,-,2320000000.0,28.25,-,-,,-,Yes,Yes,2.1,-,93.82,-,12.81,2.26,-,-,-,-,-,-,-5.39,-2.57,0.68,0.04,114.6,466.7,-,,,100.0,,-,-1.45,2.7,0.18,,,,,,,,,,1.73,206460000.0,197860000.0,6.26,11.86,70.17,48.51 - 71.17,-10.36,31.52,39.41,0.63,1040000.0,653045.0,-6.83,-4.48,2.64,8.76,24.59,0.89,-,1.8,2.85 2.81,63.71,63.8,0.14
G,Genpact Limited,Technology | Information Technology Services | Bermuda,-,8620000000.0,343300000.0,4250000000.0,9.49,2.49,0.5,1.08,109600.0,Yes,Yes,-,25.72,15.08,2.21,2.03,4.87,18.55,29.01,1.6,1.6,0.9,0.72,-2.81,1.8,3.07,0.69,21.6,12.8,,8.3,9.4,10.2,-28.6,Aug 04 Ae6C,0.72,0.9,-4.13,,-1.68,7.0,18.4,11.0,35.1,11.5,8.1,25.2,0.79,184420000.0,169250000.0,1.04,2.07,53.78,37.68 - 54.03,-14.45,22.66,43.31,0.65,852670.0,555523.0,-0.86,-4.52,3.77,10.21,-12.28,-12.92,1.35,0.88,2.05 1.66,47.0,46.22,-1.66
GD,General Dynamics Corporation,Industrials | Aerospace & Defense | USA,S&P 500,61810000000.0,3310000000.0,38440000000.0,62.91,8.09,5.04,2.24,103100.0,Yes,Yes,2.2,19.04,15.96,1.55,1.61,3.57,27.8,17.63,1.0,1.4,0.66,0.56,-4.02,11.81,14.09,3.15,5.0,15.82,,6.0,4.7,-0.3,5.2,Jul 27 e9e6O,-0.29,0.6,-6.74,87.8,0.26,6.5,19.2,12.0,17.0,10.8,8.6,20.0,1.26,276270000.0,272980000.0,1.24,3.13,264.38,188.64 - 254.99,-11.81,19.21,40.74,0.86,1080000.0,926536.0,-3.31,-1.87,-2.28,-8.32,11.16,7.87,0.85,4.51,2.08 1.71,225.37,224.88,-0.22
GDYN,"Grid Dynamics Holdings, Inc.",Technology | Information Technology Services | USA,-,1370000000.0,-20000000.0,273200000.0,3.47,2.2,-,,3763.0,Yes,Yes,1.9,-,35.62,-,5.03,5.81,9.16,66.73,5.4,5.4,0.0,0.0,-1.19,-0.3,0.57,0.12,53.4,28.93,-,,,62.1,-620.8,Aug 04 Ae6C,7.16,6.0,-4.65,69.4,3.12,-7.2,-8.3,-2.3,39.6,-3.8,-7.3,,-7.0,67140000.0,44040000.0,3.35,3.5,26.0,9.09 - 42.81,-52.91,121.9,51.66,0.49,420990.0,206425.0,-5.4,-1.51,8.33,108.26,-30.65,-46.91,0.99,1.22,5.80 6.55,20.43,20.16,-1.32
GENI,Genius Sports Limited,Communication Services | Internet Content & Information | United Kingdom,-,818320000.0,-168200000.0,310200000.0,3.21,0.74,-,,2300.0,Yes,Yes,1.9,-,-,-,2.64,1.36,5.91,-,2.0,2.0,0.02,0.01,4.91,-0.88,-0.27,-0.07,87.8,31.2,-,,,27.4,99.2,Aug 16 e9e6O,35.52,45.71,0.0,36.2,-13.39,-19.7,-24.5,-79.5,-15.8,-79.3,-54.2,,-12.71,198350000.0,105570000.0,4.18,3.04,7.75,2.20 - 24.14,-81.86,99.09,63.38,0.96,1450000.0,1396514.0,9.5,28.07,42.67,-8.56,-79.23,-42.37,-,0.29,5.98 7.22,4.1,4.38,6.83
GH,"Guardant Health, Inc.",Healthcare | Diagnostics & Research | USA,-,5020000000.0,-551100000.0,408100000.0,3.13,9.04,-,,1373.0,Yes,Yes,1.7,-,-,-,12.29,16.97,5.88,-,5.8,6.2,3.56,3.56,3.97,-5.41,-5.17,-1.39,-53.8,5.7,,-48.6,71.4,18.5,-133.1,Aug 04 Ae6C,8.36,0.1,-14.44,92.9,-0.56,-26.2,-99.9,-21.7,67.4,,,,-16.04,102050000.0,97420000.0,4.59,4.32,94.08,27.65 - 133.82,-60.31,92.08,55.68,1.18,1030000.0,1222096.0,5.65,3.95,39.65,-8.3,-59.55,-46.9,0.79,3.54,6.73 7.01,49.07,53.11,8.23
GILD,"Gilead Sciences, Inc.",Healthcare | Drug Manufacturers - General | USA,S&P 500,81410000000.0,4140000000.0,27520000000.0,16.11,4.44,2.92,4.58,14400.0,Yes,Yes,2.6,19.46,9.85,-,2.96,3.96,14.38,14.14,1.3,1.4,1.3,1.25,0.24,3.28,6.48,1.56,-9.8,-2.7,,-13.1,-2.1,0.7,-24.8,Aug 02 Ae6C,2.1,0.05,-0.52,82.6,0.69,6.3,20.0,16.4,75.6,25.5,15.0,87.4,-0.38,1260000000.0,1250000000.0,1.36,2.59,69.74,57.17 - 74.12,-13.9,11.64,53.26,1.02,6580000.0,6717976.0,2.32,3.09,0.58,3.17,-11.78,-12.11,0.33,1.31,2.28 1.82,64.95,63.82,-1.74
GILT,Gilat Satellite Networks Ltd.,Technology | Communication Equipment | Israel,-,354380000.0,200000.0,220200000.0,4.34,1.21,0.99,16.15,796.0,Yes,Yes,-,2043.33,32.26,-,1.61,1.41,5.06,-,1.5,1.7,0.0,0.0,-11.27,0.0,0.19,0.03,-108.5,171.43,-,12.1,-5.1,1.3,324.4,Aug 09 e9e6O,-6.73,13.2,0.0,40.4,4.91,0.0,0.1,-0.5,35.6,3.0,0.1,,-15.97,56600000.0,46910000.0,0.63,1.71,-,5.62 - 9.94,-38.33,9.07,31.58,0.58,172320.0,100524.0,-8.78,-11.42,-8.92,-23.47,-37.26,-13.3,0.4,0.19,2.66 2.65,6.26,6.13,-2.08
GIS,"General Mills, Inc.",Consumer Defensive | Packaged Foods | USA,S&P 500,45970000000.0,2710000000.0,18990000000.0,17.45,0.95,2.16,2.82,32500.0,Yes,Yes,3.1,17.35,18.09,3.6,2.42,4.4,80.73,30.58,0.4,0.6,1.1,0.87,-0.62,4.42,4.24,1.04,16.9,6.02,,9.8,4.0,8.1,99.9,Sep 21 e9e6O,1.65,0.2,-10.47,78.3,-0.41,8.5,27.4,13.5,33.7,18.9,14.3,45.8,10.24,604200000.0,593190000.0,2.41,3.96,73.0,56.67 - 78.54,-2.31,35.38,51.44,1.09,3610000.0,3931618.0,0.52,1.59,12.18,12.62,32.46,13.86,0.32,1.24,1.96 1.49,77.16,76.72,-0.57
GLBE,Global-E Online Ltd.,Consumer Cyclical | Internet Retail | Israel,-,4750000000.0,-153300000.0,305500000.0,5.9,1.8,-,,473.0,Yes,Yes,1.8,-,-,-,15.54,5.09,16.68,105.03,2.8,2.8,0.0,0.0,-5.6,-1.0,-0.97,-0.3,-1300.0,19.4,,,,52.4,-22.2,Aug 16 e9e6O,12.17,23.35,0.0,66.4,14.22,-16.2,-19.0,-9.5,38.3,-49.5,-50.2,,-13.14,156890000.0,124520000.0,5.65,4.5,42.67,15.63 - 83.09,-63.86,92.13,48.74,0.47,1560000.0,730054.0,-11.81,11.97,54.24,-7.4,-61.28,-52.63,-,2.27,5.66 6.96,30.5,30.03,-1.54
GM,General Motors Company,Consumer Cyclical | Auto Manufacturers | USA,S&P 500,56220000000.0,7720000000.0,132100000000.0,43.86,18.36,0.36,0.94,157000.0,Yes,Yes,2.0,7.31,6.11,2.52,0.43,0.88,2.1,19.2,0.9,1.1,1.73,1.22,-0.43,5.26,6.29,1.96,54.7,-7.86,,2.2,-3.2,4.7,-40.2,Jul 26 e9e6O,7.68,4.93,0.01,83.6,0.4,3.1,12.9,3.9,12.8,5.7,5.8,0.0,-13.63,1460000000.0,1390000000.0,1.95,1.86,52.11,30.33 - 67.21,-42.76,26.84,53.1,0.74,14580000.0,10793144.0,-1.94,6.18,2.29,-9.27,-21.41,-34.39,1.24,1.29,3.12 2.98,38.56,38.47,-0.23
